Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Pub_final,Plat
Lego Batman 3: Beyond Gotham,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.28,0,0.12,0.74,,,6.7,11,TT Games,E10+,Other,Playstation
Crysis 2,PC,2011,Action,Electronic Arts,0.16,0.45,0,0.13,0.74,86,42,6.8,1594,Crytek,Mature,Electronic Arts,PC
Tales of Vesperia,X360,2008,Role-Playing,Atari,0.32,0.17,0.19,0.05,0.74,79,67,8.2,264,Bandai Namco Games,Teen,Other,Xbox
MLB 13: The Show,PS3,2013,Sports,Sony Computer Entertainment,0.67,0,0,0.07,0.74,87,36,7.8,114,SCEA San Diego Studios,Everyone,Sony,Playstation
LEGO Marvel Super Heroes,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.31,0.35,0.02,0.06,0.74,82,8,8,71,TT Games,E10+,Other,Nintendo
Namco Museum Remix,Wii,2007,Misc,Atari,0.68,0,0,0.05,0.74,49,18,6.3,4,TOSE,Everyone,Other,Nintendo
NBA 2K16,PS3,2015,Sports,Take-Two Interactive,0.45,0.12,0.03,0.13,0.74,,,4.6,13,Visual Concepts,Everyone,Take-Two Interactive,Playstation
Sword of Mana,GBA,2003,Role-Playing,Nintendo,0.31,0.11,0.3,0.02,0.74,72,31,8.3,25,Brownie Brown,Everyone,Nintendo,Nintendo
FIFA 17,PS3,2016,Sports,Electronic Arts,0.05,0.55,0.03,0.1,0.73,,,3.3,21,"EA Sports, EA Vancouver",Everyone,Electronic Arts,Playstation
Marvel: Ultimate Alliance 2,PS3,2009,Role-Playing,Activision,0.49,0.15,0,0.09,0.73,74,48,7.3,51,Vicarious Visions,Teen,Activision,Playstation
Dragon Age: Inquisition,PC,2014,Role-Playing,Electronic Arts,0.33,0.34,0,0.06,0.73,85,45,5.9,3926,BioWare,Mature,Electronic Arts,PC
Resonance of Fate,PS3,2010,Role-Playing,Sega,0.2,0.21,0.24,0.08,0.73,72,42,8,136,Tri-Ace,Teen,Other,Playstation
Pirates of the Caribbean: At World's End,PS3,2007,Action,Disney Interactive Studios,0.17,0.41,0,0.15,0.73,55,24,6.9,19,Eurocom Entertainment Software,Teen,Other,Playstation
Tiger Woods PGA Tour 08,PS3,2007,Sports,Electronic Arts,0.22,0.37,0,0.14,0.73,79,30,6.6,7,EA Salt Lake,Everyone,Electronic Arts,Playstation
Classic NES Series: Donkey Kong,GBA,2004,Platform,Nintendo,0.4,0.15,0.17,0.01,0.73,55,15,4.8,4,Nintendo,Everyone,Nintendo,Nintendo
Harvest Moon: Animal Parade,Wii,2008,Simulation,Rising Star Games,0.58,0.08,0.02,0.05,0.73,76,10,8.9,20,Natsume,Everyone,Other,Nintendo
WWE SmackDown vs. Raw 2010,Wii,2009,Fighting,THQ,0.49,0.17,0,0.06,0.73,78,11,7.7,9,Yuke's,Teen,Other,Nintendo
Style Savvy: Trendsetters,3DS,2012,Simulation,Nintendo,0.16,0.02,0.53,0.01,0.73,76,5,8,15,syn Sophia,Everyone,Nintendo,Nintendo
Final Fantasy XIII-2,X360,2011,Role-Playing,Square Enix,0.36,0.29,0.02,0.06,0.73,79,50,6.3,268,Square Enix,Teen,Other,Xbox
Oddworld: Munch's Oddysee,XB,2001,Platform,Atari,0.54,0.16,0,0.03,0.73,80,30,8.7,32,Oddworld Inhabitants,Teen,Other,Xbox
Persona 4: Arena,PS3,2012,Fighting,Atlus,0.3,0.11,0.24,0.07,0.73,86,47,7.7,180,Arc System Works,Teen,Other,Playstation
Brink,PS3,2011,Shooter,Bethesda Softworks,0.29,0.32,0.01,0.12,0.73,72,39,5.8,168,Splash Damage,Teen,Other,Playstation
NHL 11,X360,2010,Sports,Electronic Arts,0.61,0.07,0,0.05,0.73,88,49,7.7,71,Electronic Arts,E10+,Electronic Arts,Xbox
NCAA Football 07,X360,2006,Sports,Electronic Arts,0.67,0,0,0.06,0.73,79,43,6.9,20,EA Sports,Everyone,Electronic Arts,Xbox
Full Spectrum Warrior,XB,2004,Strategy,THQ,0.54,0.16,0,0.03,0.73,84,67,8.7,27,Pandemic Studios,Mature,Other,Xbox
LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.26,0.35,0,0.12,0.73,71,70,7,87,TT Games,E10+,Other,Playstation
Katamari Damacy,PS2,2004,Puzzle,Namco Bandai Games,0.47,0.02,0.17,0.08,0.73,86,55,9,86,Namco,Everyone,Other,Playstation
Just Dance 2015,WiiU,2014,Misc,Ubisoft,0.38,0.29,0,0.06,0.73,75,6,6.6,26,Ubisoft,E10+,Ubisoft,Nintendo
LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.24,0.37,0,0.12,0.73,80,53,7.1,65,Traveller's Tales,E10+,Other,Playstation
Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012,Fighting,Namco Bandai Games,0.27,0.24,0.14,0.08,0.73,74,23,7.1,83,"CyberConnect2, Racjin",Teen,Other,Playstation
Shaun Palmer's Pro Snowboarder,PS2,2001,Sports,Codemasters,0.36,0.28,0,0.09,0.73,64,17,8.7,13,Dearsoft,Everyone,Other,Playstation
James Bond 007: Agent Under Fire,GC,2002,Shooter,Electronic Arts,0.56,0.15,0,0.02,0.72,74,16,6.8,25,Electronic Arts,Teen,Electronic Arts,Nintendo
Harvest Moon DS: Island of Happiness,DS,2007,Simulation,Rising Star Games,0.43,0.01,0.25,0.04,0.72,65,15,7,22,TOSE,Everyone,Other,Nintendo
Star Wars Episode III: Revenge of the Sith,GBA,2005,Action,Ubisoft,0.52,0.19,0,0.01,0.72,73,13,7.5,12,Ubisoft,E10+,Ubisoft,Nintendo
Ultimate Spider-Man,PS2,2005,Action,Activision,0.6,0.02,0,0.1,0.72,74,52,7.9,54,Treyarch,Teen,Activision,Playstation
Monopoly Streets,Wii,2010,Misc,Electronic Arts,0.23,0.42,0,0.08,0.72,65,9,5.2,5,Electronic Arts,Everyone,Electronic Arts,Nintendo
Total War: Rome II,PC,2013,Strategy,Sega,0.12,0.53,0,0.07,0.72,76,71,4.2,3742,Creative Assembly,Teen,Other,PC
NBA Live 08,PS2,2007,Sports,Electronic Arts,0.59,0.02,0.01,0.1,0.72,68,10,6.6,9,EA Canada,Everyone,Electronic Arts,Playstation
Star Ocean: The Last Hope International,PS3,2010,Role-Playing,Square Enix,0.28,0.15,0.22,0.07,0.72,74,45,6.7,155,"Square Enix, Tri-Ace",Teen,Other,Playstation
Dead to Rights,XB,2002,Shooter,Electronic Arts,0.53,0.17,0,0.03,0.72,73,39,8.9,16,Namco,Mature,Electronic Arts,Xbox
Indiana Jones and the Staff of Kings,Wii,2009,Action,Activision,0.36,0.29,0,0.07,0.72,55,32,7,28,Artificial Mind and Movement,Teen,Activision,Nintendo
Tiger Woods PGA Tour 07,PS2,2006,Sports,Electronic Arts,0.6,0.02,0,0.1,0.72,79,33,6,8,EA Redwood Shores,Everyone,Electronic Arts,Playstation
My Little Pony: Pinkie Pie's Party,DS,2008,Adventure,THQ,0.66,0,0,0.06,0.72,,,0,4,THQ,Everyone,Other,Nintendo
Major League Baseball 2K7,X360,2007,Sports,Spike,0.67,0,0,0.06,0.72,79,31,7.1,34,Kush Games,Everyone,Other,Xbox
Persona Q: Shadow of the Labyrinth,3DS,2014,Role-Playing,Nippon Ichi Software,0.34,0.07,0.27,0.04,0.72,83,56,8.1,169,Atlus,Mature,Other,Nintendo
MLB 14: The Show,PS4,2014,Sports,Sony Computer Entertainment America,0.58,0,0,0.14,0.72,83,17,7.7,205,SCEA San Diego Studios,Everyone,Sony,Playstation
X-Men: Mutant Academy 2,PS,2001,Fighting,Activision,0.4,0.27,0,0.05,0.72,72,12,8.4,18,Paradox Development,Teen,Activision,Playstation
Kirby: Canvas Curse,DS,2005,Platform,Nintendo,0.36,0,0.32,0.03,0.72,86,48,8.2,87,HAL Labs,Everyone,Nintendo,Nintendo
Madden NFL 10,Wii,2009,Sports,Electronic Arts,0.62,0.04,0,0.06,0.72,77,23,7.2,24,EA Tiburon,Everyone,Electronic Arts,Nintendo
MLB 09: The Show,PS3,2009,Sports,Sony Computer Entertainment,0.66,0,0,0.06,0.72,90,27,8.1,61,SCEA San Diego Studios,Everyone,Sony,Playstation
Borderlands: The Pre-Sequel,X360,2014,Shooter,Take-Two Interactive,0.46,0.19,0.01,0.07,0.72,74,16,6.4,161,2K Australia,Mature,Take-Two Interactive,Xbox
Super Monkey Ball Jr.,GBA,2002,Puzzle,Atari,0.51,0.19,0,0.01,0.72,82,20,8.6,11,Realism Ltd,Everyone,Other,Nintendo
The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games,0.21,0.46,0,0.05,0.72,93,32,9.3,10665,CD Projekt Red Studio,Mature,Other,PC
F1 2011,X360,2011,Racing,Codemasters,0.11,0.5,0.01,0.09,0.72,84,61,7.1,54,Codemasters,Everyone,Other,Xbox
Mobile Suit Gundam: Encounters in Space,PS2,2003,Simulation,Namco Bandai Games,0.05,0.04,0.61,0.01,0.72,66,10,8.5,37,Bandai,Teen,Other,Playstation
MLB 10: The Show,PS3,2010,Sports,Sony Computer Entertainment,0.66,0,0,0.06,0.72,91,33,8.3,107,SCEA,Everyone,Sony,Playstation
MX vs. ATV Reflex,X360,2009,Racing,THQ,0.52,0.14,0,0.06,0.72,75,47,6.6,30,Rainbow Studios,Everyone,Other,Xbox
Blur,PS3,2010,Racing,Activision,0.22,0.36,0.02,0.12,0.72,81,58,8.2,86,Bizarre Creations,E10+,Activision,Playstation
Battlefield: Bad Company 2,PC,2010,Shooter,Electronic Arts,0.19,0.53,0,0,0.72,87,46,8.3,1467,EA DICE,Mature,Electronic Arts,PC
DiRT 3,X360,2011,Racing,Codemasters,0.23,0.4,0.01,0.08,0.72,87,81,7.1,166,Codemasters,Teen,Other,Xbox
The Lord of the Rings: The Two Towers,XB,2002,Action,Electronic Arts,0.45,0.24,0,0.03,0.71,79,17,8.1,18,Stormfront Studios,Teen,Electronic Arts,Xbox
Madden NFL 2003,XB,2002,Sports,Electronic Arts,0.67,0.02,0,0.03,0.71,92,16,8.3,16,EA Tiburon,Everyone,Electronic Arts,Xbox
Skate,X360,2007,Sports,Electronic Arts,0.62,0.03,0,0.06,0.71,86,59,8.4,137,EA Black Box,Teen,Electronic Arts,Xbox
iCarly,DS,2009,Adventure,Activision,0.66,0.01,0,0.05,0.71,,,8.3,6,Human Soft,Everyone,Activision,Nintendo
XCOM: Enemy Unknown,PC,2012,Strategy,Take-Two Interactive,0.27,0.36,0,0.08,0.71,89,57,8.2,2235,Firaxis Games,Mature,Take-Two Interactive,PC
Ben 10: Protector of Earth,PSP,2007,Action,D3Publisher,0.23,0.3,0,0.18,0.71,60,4,7.2,23,High Voltage Software,E10+,Other,Playstation
Virtua Fighter 4: Evolution,PS2,2003,Fighting,Sega,0.35,0.27,0,0.09,0.71,93,30,9,48,Sega,Teen,Other,Playstation
Crysis,PC,2007,Shooter,Electronic Arts,0,0.69,0,0.02,0.71,91,56,8,1970,Crytek,Mature,Electronic Arts,PC
Resident Evil: Survivor,PS,2000,Action,Eidos Interactive,0.23,0.15,0.29,0.05,0.71,39,10,7,47,Capcom,Mature,Other,Playstation
The Sims 2: Castaway,DS,2007,Simulation,Electronic Arts,0.62,0.04,0,0.06,0.71,66,8,4,5,Full Fat,Everyone,Electronic Arts,Nintendo
Godzilla: Destroy All Monsters Melee,GC,2002,Fighting,Atari,0.55,0.14,0,0.02,0.71,73,30,7.8,23,"Pipeworks Software, Inc.",Teen,Other,Nintendo
Silent Hill 3,PS2,2003,Action,Konami Digital Entertainment,0.35,0.27,0,0.09,0.71,85,41,8.8,315,KCET,Mature,Other,Playstation
Spyro: Enter the Dragonfly,GC,2002,Platform,Universal Interactive,0.55,0.14,0,0.02,0.71,48,13,5.1,24,Equinoxe,Everyone,Other,Nintendo
Power Rangers: Dino Thunder,PS2,2004,Action,THQ,0.35,0.27,0,0.09,0.71,49,6,6.2,5,Pacific Coast Power & Light,Everyone,Other,Playstation
Madden NFL 08,PSP,2007,Sports,Electronic Arts,0.6,0.04,0,0.07,0.71,75,10,6.8,8,EA Tiburon,Everyone,Electronic Arts,Playstation
Madden NFL 09,PSP,2008,Sports,Electronic Arts,0.65,0,0,0.06,0.71,68,8,6.5,4,EA Tiburon,Everyone,Electronic Arts,Playstation
NBA Live 09,X360,2008,Sports,Electronic Arts,0.5,0.14,0,0.07,0.71,77,32,7.4,14,EA Canada,Everyone,Electronic Arts,Xbox
Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games,0.24,0.27,0.09,0.1,0.71,73,54,7.8,117,Dimps Corporation,Teen,Other,Playstation
