Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Pub_final,Plat
DiRT Showdown,X360,2012,Racing,Codemasters,0.08,0.13,0,0.02,0.23,75,53,6.4,53,Codemasters,E10+,Other,Xbox
The Incredible Hulk: Ultimate Destruction,XB,2005,Action,Vivendi Games,0.17,0.05,0,0.01,0.23,84,47,8,22,Radical Entertainment,Teen,Other,Xbox
Gundam Battle Assault,PS,1998,Fighting,Namco Bandai Games,0.13,0.09,0,0.02,0.23,61,4,7.8,4,Natsume,Teen,Other,Playstation
XCOM 2,PC,2016,Strategy,Take-Two Interactive,0.09,0.12,0,0.02,0.23,88,104,7.1,1221,Firaxis Games,Teen,Take-Two Interactive,PC
Cross Edge,PS3,2008,Role-Playing,Nippon Ichi Software,0.14,0.02,0.05,0.02,0.23,52,32,7.2,82,Compile Heart,Teen,Other,Playstation
The Lord of the Rings: Aragorn's Quest,Wii,2010,Action,Warner Bros. Interactive Entertainment,0.17,0.05,0,0.02,0.23,58,21,7.8,5,Headstrong Games,Teen,Other,Nintendo
Looney Tunes: Acme Arsenal,Wii,2007,Action,Warner Bros. Interactive Entertainment,0.21,0.01,0,0.02,0.23,27,7,5.1,14,Red Tribe,E10+,Other,Nintendo
Madagascar: Escape 2 Africa,PS3,2008,Action,Activision,0.12,0.08,0,0.03,0.23,58,13,6.8,4,Toys for Bob,E10+,Activision,Playstation
NBA 2K6,X360,2005,Action,Take-Two Interactive,0.21,0.01,0,0.02,0.23,81,33,8.6,31,Visual Concepts,Everyone,Take-Two Interactive,Xbox
NASCAR 08,PS3,2007,Racing,Electronic Arts,0.15,0.05,0,0.03,0.23,57,21,5,14,EA Tiburon,Everyone,Electronic Arts,Playstation
Mafia,XB,2004,Action,Take-Two Interactive,0.17,0.05,0,0.01,0.23,66,33,7.7,22,Illusion Softworks,Mature,Take-Two Interactive,Xbox
Grand Slam Tennis 2,PS3,2012,Sports,Electronic Arts,0.09,0.1,0,0.04,0.23,73,36,5.2,17,EA Sports,Everyone,Electronic Arts,Playstation
Dynasty Warriors: Strikeforce,X360,2009,Action,Tecmo Koei,0.13,0.06,0.02,0.02,0.23,59,18,5.7,12,Omega Force,Teen,Other,Xbox
Airblade,PS2,2001,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,70,18,5.8,12,Criterion Games,Teen,Sony,Playstation
Epic Mickey 2: The Power of Two,WiiU,2012,Action,Disney Interactive Studios,0.13,0.07,0.01,0.02,0.23,57,14,5.6,46,Junction Point,Everyone,Other,Nintendo
Carnival Island,PS3,2011,Misc,Sony Computer Entertainment,0.13,0.06,0,0.04,0.23,66,25,5.2,5,Magic Pixel Games,Everyone,Sony,Playstation
Tom Clancy's Rainbow Six: Siege,PC,2015,Shooter,Ubisoft,0.13,0.08,0,0.02,0.23,79,37,6.9,734,Ubisoft Montreal,Mature,Ubisoft,PC
Genji: Dawn of the Samurai,PS2,2005,Action,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,74,49,8.3,19,Game Republic,Mature,Sony,Playstation
The Italian Job,PS2,2003,Racing,Eidos Interactive,0.11,0.09,0,0.03,0.23,55,18,6.3,4,Climax Group,Teen,Other,Playstation
TrackMania: Build to Race,Wii,2010,Racing,Focus Home Interactive,0.09,0.11,0,0.02,0.23,74,17,6.8,5,Firebrand Games,Everyone,Other,Nintendo
Ultimate Band,Wii,2008,Misc,Disney Interactive Studios,0.18,0.03,0,0.02,0.23,59,17,5.5,4,Disney Interactive Studios,E10+,Other,Nintendo
Freedom Fighters,XB,2003,Shooter,Electronic Arts,0.17,0.05,0,0.01,0.23,82,23,8.2,23,Io Interactive,Teen,Electronic Arts,Xbox
Soldier of Fortune II: Double Helix,XB,2003,Shooter,Activision,0.17,0.05,0,0.01,0.23,61,26,6.5,13,Gratuitous Games,Mature,Activision,Xbox
Lunar Knights,DS,2006,Role-Playing,Konami Digital Entertainment,0.17,0.01,0.04,0.01,0.23,82,39,7.8,25,Kojima Productions,E10+,Other,Nintendo
Final Fantasy XI: Treasures of Aht Urhgan,PS2,2006,Role-Playing,Square Enix,0.06,0.05,0.1,0.02,0.23,87,4,7.1,13,Square Enix,Teen,Other,Playstation
WWE All Stars,3DS,2011,Fighting,THQ,0.15,0.06,0,0.02,0.23,71,12,7.4,7,THQ,Teen,Other,Nintendo
Alundra,PS,1997,Role-Playing,Psygnosis,0.13,0.09,0,0.01,0.23,86,9,9,41,Matrix Software,Teen,Other,Playstation
Mortal Kombat: Armageddon,Wii,2007,Fighting,Midway Games,0.19,0.02,0,0.02,0.23,71,29,8.4,33,JGI Entertainment,Mature,Other,Nintendo
Madden NFL 13,WiiU,2012,Sports,Electronic Arts,0.21,0,0,0.02,0.23,75,9,6.7,30,EA Tiburon,Everyone,Electronic Arts,Nintendo
Bratz: Girlz Really Rock,PS2,2008,Action,THQ,0.11,0.09,0,0.03,0.23,,,8.4,7,Blitz Games,Everyone,Other,Playstation
Transformers: Devastation,PS4,2015,Action,Activision,0.1,0.09,0,0.04,0.23,77,50,7.5,160,PlatinumGames,Teen,Activision,Playstation
Hannah Montana: The Movie,PS3,2009,Adventure,Disney Interactive Studios,0.14,0.06,0,0.03,0.23,,,3.4,17,n-Space,Everyone,Other,Playstation
BlowOut,PS2,2003,Shooter,Zoo Digital Publishing,0.11,0.09,0,0.03,0.23,58,12,6.2,5,Terminal Reality,Teen,Other,Playstation
NFL Blitz Pro,PS2,2003,Sports,Midway Games,0.11,0.09,0,0.03,0.23,73,20,8.5,14,Midway,Everyone,Other,Playstation
Tiger Woods PGA Tour 2003,GC,2002,Sports,Electronic Arts,0.18,0.05,0,0.01,0.23,90,10,8,5,EA Sports,Everyone,Electronic Arts,Nintendo
Pinball Hall of Fame: The Gottlieb Collection,PSP,2005,Misc,Play It,0.2,0.01,0,0.02,0.23,73,27,8.1,13,Farsight Studios,Everyone,Other,Playstation
Disgaea: Afternoon of Darkness,PSP,2006,Role-Playing,Tecmo Koei,0.15,0.01,0.04,0.02,0.23,87,37,8.2,69,Nippon Ichi Software,Teen,Other,Playstation
Toukiden Kiwami,PSV,2014,Action,Tecmo Koei,0.02,0.02,0.17,0.01,0.23,82,5,8.6,42,"Omega Force, Koei Tecmo Games",Teen,Other,Playstation
SSX On Tour,PSP,2005,Sports,Electronic Arts,0.19,0.02,0,0.02,0.23,79,23,8.1,44,EA Montreal,Everyone,Electronic Arts,Playstation
Rune Factory: Tides of Destiny,PS3,2011,Role-Playing,Marvelous Interactive,0.14,0,0.07,0.02,0.23,55,12,7.9,44,Neverland,E10+,Other,Playstation
Ys Seven,PSP,2009,Role-Playing,Falcom Corporation,0.14,0,0.08,0.02,0.23,79,27,8.5,65,Falcom,Teen,Other,Playstation
Lumines: Electronic Symphony,PSV,2012,Misc,Ubisoft,0.09,0.09,0.01,0.04,0.23,83,65,7.8,85,Q Entertainment,Everyone,Ubisoft,Playstation
Tony Hawk's Proving Ground,DS,2007,Sports,Activision,0.2,0.01,0,0.02,0.23,79,21,6.7,6,Vicarious Visions,E10+,Activision,Nintendo
The Polar Express,PS2,2004,Adventure,THQ,0.11,0.09,0,0.03,0.23,39,10,4.3,6,Blue Tongue,Everyone,Other,Playstation
AC/DC LIVE: Rock Band Track Pack,X360,2008,Misc,MTV Games,0.21,0,0,0.02,0.23,63,16,4.9,10,Harmonix Music Systems,Teen,Other,Xbox
Valhalla Knights 2,PSP,2008,Role-Playing,Rising Star Games,0.09,0,0.12,0.01,0.23,50,13,5.4,13,K2,E10+,Other,Playstation
Spec Ops: The Line,PC,2012,Shooter,Take-Two Interactive,0.11,0.09,0,0.02,0.23,76,16,8.2,1237,Yager,Mature,Take-Two Interactive,PC
Saint Seiya: Sanctuary Battle,PS3,2011,Action,Namco Bandai Games,0,0.09,0.11,0.02,0.23,62,14,7.3,34,Dimps Corporation,Unknown,Other,Playstation
NBA ShootOut 2003,PS2,2002,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,62,22,5.9,8,SCEA,Everyone,Sony,Playstation
Need For Speed: Undercover,DS,2008,Racing,Electronic Arts,0.18,0.03,0,0.02,0.23,59,7,6.7,6,Firebrand Games,E10+,Electronic Arts,Nintendo
Guitar Hero Live,X360,2015,Misc,Activision,0.13,0.08,0,0.02,0.23,,,5.5,19,Activision,Teen,Activision,Xbox
Rogue Ops,PS2,2003,Action,Kemco,0.11,0.09,0,0.03,0.23,61,26,9.2,6,Bits Studios,Mature,Other,Playstation
Killer is Dead,PS3,2013,Action,Deep Silver,0.12,0.03,0.05,0.03,0.23,64,39,7.9,215,Grasshopper Manufacture,Mature,Other,Playstation
F1 2014,X360,2014,Racing,Codemasters,0.08,0.13,0,0.02,0.23,64,14,4.1,20,Codemasters Birmingham,Everyone,Other,Xbox
Legion: The Legend of Excalibur,PS2,2002,Action,Midway Games,0.11,0.09,0,0.03,0.22,51,21,7,6,7 Studios,Mature,Other,Playstation
LEGO Jurassic World,PSV,2015,Action,Warner Bros. Interactive Entertainment,0.05,0.13,0,0.05,0.22,,,7.6,11,TT Games,E10+,Other,Playstation
Spartan: Total Warrior,PS2,2005,Action,Sega,0.11,0.09,0,0.03,0.22,74,33,8.4,65,Creative Assembly,Mature,Other,Playstation
Justice League Heroes,PSP,2006,Role-Playing,Eidos Interactive,0.2,0.01,0,0.02,0.22,72,13,7.8,5,Snowblind Studios,Teen,Other,Playstation
Conflict: Vietnam,XB,2004,Shooter,SCi,0.17,0.05,0,0.01,0.22,60,40,7.3,9,Pivotal Games,Mature,Other,Xbox
Whirl Tour,PS2,2002,Sports,Crave Entertainment,0.11,0.09,0,0.03,0.22,58,9,7,5,Papaya Studios,Everyone,Other,Playstation
NBA Street: Showdown,PSP,2005,Sports,Electronic Arts,0.2,0,0,0.02,0.22,75,25,8.5,15,EA Canada,Everyone,Electronic Arts,Playstation
pro evolution soccer 2011,Wii,2010,Sports,Konami Digital Entertainment,0.07,0.1,0.03,0.02,0.22,78,9,5.4,7,Konami,Everyone,Other,Nintendo
Skies of Arcadia Legends,GC,2002,Role-Playing,Atari,0.17,0.04,0,0.01,0.22,84,31,9.2,95,Overworks,Teen,Other,Nintendo
Breath of Fire,GBA,2001,Role-Playing,Ubisoft,0.11,0.04,0.06,0,0.22,79,17,8.8,9,Capcom,Everyone,Ubisoft,Nintendo
Risen 2: Dark Waters,PC,2012,Role-Playing,Deep Silver,0,0.19,0,0.03,0.22,69,51,5.6,751,Piranha Bytes,Mature,Other,PC
Ford vs. Chevy,PS2,2005,Racing,Global Star,0.11,0.09,0,0.03,0.22,,,8,5,Eutechnyx,Everyone,Other,Playstation
LEGO The Hobbit,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.09,0.11,0,0.02,0.22,,,7.8,11,TT Games,E10+,Other,Nintendo
NCAA Football 2005,GC,2004,Sports,Electronic Arts,0.17,0.04,0,0.01,0.22,88,18,9,5,EA Sports,Everyone,Electronic Arts,Nintendo
Hamtaro: Ham-Ham Games,GBA,2004,Sports,Nintendo,0.16,0.06,0,0,0.22,77,20,7.8,6,Alphadream Corporation,Everyone,Nintendo,Nintendo
Danny Phantom: The Ultimate Enemy,GBA,2005,Action,THQ,0.16,0.06,0,0,0.22,,,8.8,4,Altron,Everyone,Other,Nintendo
Soul Sacrifice Delta,PSV,2014,Action,Sony Computer Entertainment,0,0.08,0.12,0.02,0.22,82,24,8.4,125,SCE Japan Studio,Mature,Sony,Playstation
NASCAR 2011: The Game,Wii,2011,Racing,Activision,0.21,0,0,0.01,0.22,42,5,3.1,9,Eutechnyx,Everyone,Activision,Nintendo
Spider-Man: Edge of Time,PS3,2011,Action,Activision,0.13,0.07,0,0.03,0.22,58,43,7.2,29,Beenox,Teen,Activision,Playstation
Ride,PS4,2015,Racing,Milestone S.r.l.,0.04,0.13,0.03,0.03,0.22,66,30,7,47,Milestone S.r.l,Everyone,Other,Playstation
Spirit Camera: The Cursed Memoir,3DS,2012,Adventure,Nintendo,0.13,0.02,0.06,0.01,0.22,54,35,6.1,28,Tecmo Koei Games,Teen,Nintendo,Nintendo
Galactic Wrestling: Featuring Ultimate Muscle,PS2,2004,Fighting,Namco Bandai Games,0.03,0.02,0.17,0.01,0.22,61,12,8,5,Aki Corp.,Teen,Other,Playstation
FaceBreaker K.O. Party,Wii,2008,Fighting,Electronic Arts,0.19,0.01,0,0.02,0.22,61,15,5.6,7,EA Canada,Teen,Electronic Arts,Nintendo
Dino Stalker,PS2,2002,Shooter,Capcom,0.07,0.06,0.08,0.02,0.22,50,18,6.3,8,Capcom,Mature,Other,Playstation
Mega Man Zero 3,GBA,2004,Platform,Capcom,0.16,0.06,0,0,0.22,77,21,9,22,Inti,Everyone,Other,Nintendo
Super Swing Golf,Wii,2006,Sports,Nintendo,0.14,0.01,0.07,0.01,0.22,72,44,7.8,15,"Tecmo, Ntreev Soft",E10+,Nintendo,Nintendo
G-Force,PS3,2009,Action,Disney Interactive Studios,0.13,0.06,0,0.03,0.22,68,22,7.6,7,Eurocom Entertainment Software,E10+,Other,Playstation
Luminous Arc 2,DS,2008,Role-Playing,Rising Star Games,0.2,0,0,0.02,0.22,73,19,7.7,14,"Image Epoch, Imageepoch",Teen,Other,Nintendo
Shinobi,3DS,2011,Platform,Sega,0.14,0.07,0,0.02,0.22,69,33,7.3,33,Griptonite Games,Teen,Other,Nintendo
Tony Hawk's Downhill Jam,DS,2006,Sports,Activision,0.2,0,0,0.02,0.22,76,34,7,7,Vicarious Visions,Everyone,Activision,Nintendo
Risen 2: Dark Waters,PS3,2012,Role-Playing,Deep Silver,0.04,0.13,0.01,0.04,0.22,47,13,5.2,37,Piranha Bytes,Mature,Other,Playstation
Age of Empires: The Age of Kings,DS,2006,Strategy,THQ,0.18,0.02,0,0.02,0.22,80,38,7.9,59,Backbone Entertainment,E10+,Other,Nintendo
MotoGP 09/10,PS3,2010,Racing,Capcom,0.05,0.13,0,0.04,0.22,70,42,5.4,28,Monumental Games,Everyone,Other,Playstation
The Lord of the Rings: The Third Age,GBA,2004,Role-Playing,Electronic Arts,0.16,0.06,0,0,0.22,67,7,8.5,12,Griptonite Games,Teen,Electronic Arts,Nintendo
Dinosaur King,DS,2007,Strategy,Sega,0.2,0,0,0.02,0.22,61,13,8,9,Climax Entertainment,Everyone,Other,Nintendo
The Suffering,XB,2004,Action,Midway Games,0.16,0.05,0,0.01,0.22,77,44,8.8,23,Surreal Software,Mature,Other,Xbox
Pitfall: The Big Adventure,Wii,2008,Adventure,Activision,0.19,0.02,0,0.02,0.22,,,6.3,6,Edge of Reality,Everyone,Activision,Nintendo
Tetris Worlds,GC,2002,Puzzle,THQ,0.17,0.04,0,0.01,0.22,47,10,5.6,8,Radical Entertainment,Everyone,Other,Nintendo
The Sims 4: Get Together,PC,2015,Simulation,Electronic Arts,0.05,0.15,0,0.02,0.22,72,16,7.3,117,Maxis,Teen,Electronic Arts,PC
Viewtiful Joe 2,GC,2004,Action,Capcom,0.17,0.04,0,0.01,0.22,86,39,8.3,19,Clover Studio,Teen,Other,Nintendo
Child of Eden,PS3,2011,Shooter,Ubisoft,0.09,0.1,0,0.04,0.22,81,21,7.8,25,Q Entertainment,E10+,Ubisoft,Playstation
Touch the Dead,DS,2007,Shooter,Eidos Interactive,0.2,0,0,0.02,0.22,56,31,5.6,5,Secret Stash Games,Mature,Other,Nintendo
Nickelodeon Party Blast,XB,2002,Misc,Infogrames,0.16,0.05,0,0.01,0.22,19,4,4.3,7,Data Design Interactive,Everyone,Other,Xbox
Jackass the Game,PSP,2007,Action,Empire Interactive,0.09,0.08,0,0.05,0.22,58,21,7,12,Sidhe Interactive,Mature,Other,Playstation
Ragnarok DS,DS,2008,Role-Playing,GungHo,0.1,0,0.11,0.01,0.22,53,19,5.8,17,GungHo,E10+,Other,Nintendo
Shellshock: Nam '67,XB,2004,Shooter,Eidos Interactive,0.16,0.05,0,0.01,0.22,58,37,7,14,Guerrilla,Mature,Other,Xbox
Magna Carta: Tears of Blood,PS2,2004,Role-Playing,505 Games,0.11,0.08,0,0.03,0.22,66,34,7,22,SoftMax,Teen,Other,Playstation
All-Star Baseball 2002,GC,2001,Sports,Acclaim Entertainment,0.17,0.04,0,0.01,0.22,66,17,5.6,9,Acclaim,Everyone,Other,Nintendo
Capcom vs. SNK,DC,2000,Fighting,Virgin Interactive,0,0,0.22,0,0.22,80,17,9,24,Capcom,Teen,Other,Sega
Pinball Hall of Fame: The Williams Collection,PS3,2009,Misc,Crave Entertainment,0.2,0,0,0.02,0.22,82,16,7.9,8,Farsight Studios,E10+,Other,Playstation
Aliens vs Predator: Requiem,PSP,2007,Action,Vivendi Games,0.03,0.12,0,0.07,0.22,49,34,5.6,19,Rebellion,Teen,Other,Playstation
Dishonored 2,XOne,2016,Action,Bethesda Softworks,0.12,0.08,0,0.02,0.22,88,22,6.8,156,Arkane Studios,Mature,Other,Xbox
Asphalt: Injection,PSV,2011,Action,Ubisoft,0.13,0.06,0,0.03,0.22,49,33,4.8,28,Ubisoft,E10+,Ubisoft,Playstation
From Russia With Love,GC,2005,Action,Electronic Arts,0.17,0.04,0,0.01,0.22,70,20,8.5,13,Electronic Arts,Teen,Electronic Arts,Nintendo
Guitar Hero: Smash Hits,PS2,2009,Misc,Activision,0.11,0.01,0,0.1,0.22,69,6,8.3,6,Beenox,Teen,Activision,Playstation
NBA Live 09 All-Play,Wii,2008,Sports,Electronic Arts,0.19,0.01,0,0.02,0.22,51,11,5.9,14,EA Sports,Everyone,Electronic Arts,Nintendo
NFL Quarterback Club 2002,PS2,2001,Sports,Acclaim Entertainment,0.11,0.08,0,0.03,0.22,67,12,7.8,6,Acclaim,Everyone,Other,Playstation
NCAA Basketball 09,X360,2008,Sports,Electronic Arts,0.2,0,0,0.02,0.22,70,23,5.6,8,EA Canada,Everyone,Electronic Arts,Xbox
Shin Megami Tensei: Persona,PSP,2009,Role-Playing,Atlus,0.08,0,0.13,0.01,0.22,78,30,8,47,ITL,Teen,Other,Playstation
Lords of the Fallen,XOne,2014,Role-Playing,Square Enix,0.1,0.1,0,0.02,0.22,71,13,6.7,166,"City Interactive, Deck 13",Mature,Other,Xbox
LEGO The Lord of the Rings,PC,2012,Action,Warner Bros. Interactive Entertainment,0.07,0.13,0,0.03,0.22,80,6,8.2,127,TT Games,E10+,Other,PC
Growlanser: Heritage of War,PS2,2006,Role-Playing,Rising Star Games,0.11,0.08,0,0.03,0.22,60,7,7.9,9,Career Soft,Teen,Other,Playstation
Ben 10 Alien Force: Vilgax Attacks,X360,2009,Action,D3Publisher,0.11,0.09,0,0.02,0.22,61,9,8.3,4,Papaya Studios,E10+,Other,Xbox
Rugby 2004,PS2,2003,Sports,Electronic Arts,0.11,0.08,0,0.03,0.22,61,13,6.8,65,HB Studios Multimedia,Everyone,Electronic Arts,Playstation
Senran Kagura 2: Deep Crimson,3DS,2014,Action,Marvelous Entertainment,0.1,0.02,0.08,0.01,0.22,58,28,6.8,56,Tamsoft,Mature,Other,Nintendo
NBA 06,PSP,2005,Sports,Sony Computer Entertainment,0.2,0,0,0.02,0.22,72,19,5.4,8,SCEA Sports Studio,Everyone,Sony,Playstation
KORG DS-10 Synthesizer,DS,2008,Misc,AQ Interactive,0.19,0.01,0,0.02,0.22,82,11,8.2,13,AQ Interactive,Everyone,Other,Nintendo
Naruto: Ninja Council,GBA,2003,Action,Tomy Corporation,0.16,0.06,0,0,0.22,60,12,7.1,9,Aspect,E10+,Other,Nintendo
Tropico 3,X360,2009,Strategy,Kalypso Media,0.15,0.02,0.03,0.01,0.22,75,33,6.6,22,Haemimont,Teen,Other,Xbox
Deadly Creatures,Wii,2009,Action,THQ,0.08,0.12,0,0.02,0.22,72,45,8.8,36,Rainbow Studios,Teen,Other,Nintendo
Naruto Shippuden: Ultimate Ninja Storm Revolution,X360,2014,Fighting,Namco Bandai Games,0.14,0.06,0,0.02,0.22,62,11,7.3,44,CyberConnect2,Teen,Other,Xbox
Dead Island,PC,2011,Action,Deep Silver,0.12,0.07,0,0.03,0.22,80,24,6.8,1428,Techland,Mature,Other,PC
NFL 2K3,GC,2002,Sports,Sega,0.17,0.04,0,0.01,0.22,92,24,8.3,15,Visual Concepts,Everyone,Other,Nintendo
Hunted: The Demon's Forge,X360,2011,Action,Bethesda Softworks,0.13,0.06,0,0.02,0.22,61,59,6,116,InXile Entertainment,Mature,Other,Xbox
American Idol,GBA,2003,Misc,Codemasters,0.15,0.06,0,0,0.22,,,4.8,5,Mobius Entertainment,Everyone,Other,Nintendo
Britney's Dance Beat,GBA,2002,Misc,THQ,0.15,0.06,0,0,0.22,53,14,7.4,5,Art,Everyone,Other,Nintendo
Shrek SuperSlam,GC,2005,Action,Activision,0.17,0.04,0,0.01,0.22,70,11,7.8,6,Shaba Games,E10+,Activision,Nintendo
Full Auto,X360,2006,Shooter,Sega,0.19,0.01,0,0.02,0.22,70,63,7.8,36,Pseudo Interactive,Teen,Other,Xbox
Herdy Gerdy,PS2,2002,Adventure,Eidos Interactive,0.11,0.08,0,0.03,0.22,69,24,5,12,Core Design Ltd.,Everyone,Other,Playstation
Afrika,PS3,2008,Adventure,Unknown,0.12,0,0.08,0.01,0.22,63,12,6.2,34,Rhino Studios,E10+,Other,Playstation
The Crew,X360,2014,Racing,Ubisoft,0.06,0.14,0,0.02,0.22,,,6.4,94,Ivory Tower,Teen,Ubisoft,Xbox
Over G Fighters,X360,2006,Simulation,Ubisoft,0.19,0.01,0,0.02,0.21,49,36,6,49,Taito Corporation,Teen,Ubisoft,Xbox
Angry Birds Star Wars,PS4,2013,Strategy,Activision,0.1,0.08,0,0.04,0.21,47,5,2,87,Exient Entertainment,Everyone,Activision,Playstation
Hot Shots Tennis: Get a Grip,PSP,2010,Sports,Sony Computer Entertainment,0.07,0,0.13,0.01,0.21,80,27,8,17,Clap Hanz,Everyone,Sony,Playstation
Star Wars: The Force Unleashed II,DS,2010,Action,LucasArts,0.17,0.03,0,0.02,0.21,43,5,4,5,LucasArts,Teen,Other,Nintendo
The Dukes of Hazzard: Return of the General Lee,PS2,2004,Racing,Ubisoft,0.11,0.08,0,0.03,0.21,52,17,6.8,8,Ratbag,Everyone,Ubisoft,Playstation
Crash 'N' Burn,PS2,2004,Racing,Eidos Interactive,0.11,0.08,0,0.03,0.21,63,17,8,7,Climax Group,Teen,Other,Playstation
NBA,PSP,2005,Sports,Sony Computer Entertainment,0.2,0,0,0.02,0.21,57,25,6.9,14,989 Sports,Everyone,Sony,Playstation
Teenage Mutant Ninja Turtles: Smash-Up,PS2,2009,Fighting,Ubisoft,0.11,0.08,0,0.03,0.21,,,8.4,12,Game Arts,E10+,Ubisoft,Playstation
Disaster Report,PS2,2002,Action,Agetec,0.03,0.02,0.15,0.01,0.21,66,28,8,7,Irem,Teen,Other,Playstation
Armored Core V,X360,2012,Simulation,Namco Bandai Games,0.13,0.03,0.04,0.01,0.21,68,37,7.2,37,From Software,Teen,Other,Xbox
College Hoops 2K7,X360,2006,Sports,Take-Two Interactive,0.2,0,0,0.02,0.21,82,22,8.2,12,2K Sports,Everyone,Take-Two Interactive,Xbox
Rampage: Total Destruction,Wii,2006,Action,Midway Games,0.19,0.01,0,0.02,0.21,46,21,5.6,19,"Pipeworks Software, Inc.",E10+,Other,Nintendo
The Bard's Tale,PS2,2004,Role-Playing,Ubisoft,0.1,0.08,0,0.03,0.21,76,44,8.6,14,InXile Entertainment,Teen,Ubisoft,Playstation
Robotech: The Macross Saga,GBA,2002,Shooter,TDK Mediactive,0.15,0.06,0,0,0.21,61,8,6.5,4,Lucky Chicken,Everyone,Other,Nintendo
Conflict Zone,PS2,2002,Strategy,Ubisoft,0.1,0.08,0,0.03,0.21,47,7,7.4,8,MASA Group,Teen,Ubisoft,Playstation
Code Name: S.T.E.A.M.,3DS,2015,Strategy,Nintendo,0.14,0.05,0.01,0.02,0.21,69,69,7.7,125,Intelligent Systems,Teen,Nintendo,Nintendo
The Bureau: XCOM Declassified,X360,2013,Shooter,Take-Two Interactive,0.1,0.1,0,0.02,0.21,68,30,6.7,118,2K Marin,Mature,Take-Two Interactive,Xbox
Star Wars: Battlefront,PC,2004,Shooter,LucasArts,0.07,0.13,0,0.02,0.21,72,19,3.5,1509,EA DICE,Teen,Other,PC
BloodRayne,XB,2002,Shooter,Universal Interactive,0.16,0.05,0,0.01,0.21,76,20,7.5,6,Terminal Reality,Mature,Other,Xbox
NHL 2K6,XB,2005,Sports,Take-Two Interactive,0.16,0.05,0,0.01,0.21,83,32,7.5,26,2K Sports,E10+,Take-Two Interactive,Xbox
Hannah Montana: The Movie,X360,2009,Adventure,Disney Interactive Studios,0.14,0.05,0,0.02,0.21,25,4,3.8,48,n-Space,Everyone,Other,Xbox
Tenchu: Return From Darkness,XB,2004,Action,Activision,0.16,0.05,0,0.01,0.21,70,55,7,6,K2 LLC,Mature,Activision,Xbox
World Poker Tour,PS2,2005,Misc,Take-Two Interactive,0.1,0.08,0,0.03,0.21,60,17,8.6,5,Coresoft,Teen,Take-Two Interactive,Playstation
Neo Contra,PS2,2004,Shooter,Konami Digital Entertainment,0.1,0.08,0,0.03,0.21,65,37,7.1,8,KCET,Mature,Other,Playstation
MVP Baseball,PSP,2005,Sports,Electronic Arts,0.2,0,0,0.02,0.21,67,21,7.7,16,EA Canada,Everyone,Electronic Arts,Playstation
Where's Waldo? The Fantastic Journey,DS,2009,Adventure,Ubisoft,0.2,0,0,0.02,0.21,,,8.9,8,Classic Media Distribution Limited,Everyone,Ubisoft,Nintendo
Tony Hawk's American Sk8land,DS,2005,Sports,Activision,0.19,0,0,0.02,0.21,84,31,8.7,55,Vicarious Visions,Everyone,Activision,Nintendo
Viewtiful Joe 2,PS2,2004,Action,Capcom,0.1,0.08,0,0.03,0.21,85,29,7.7,17,Clover Studio,Teen,Other,Playstation
The BIGS 2,X360,2009,Sports,Take-Two Interactive,0.19,0.01,0,0.02,0.21,76,31,6.2,35,Blue Castle Games,E10+,Take-Two Interactive,Xbox
Quake III: Revolution,PS2,2001,Shooter,Electronic Arts,0.1,0.08,0,0.03,0.21,84,18,7.2,11,Bullfrog Productions,Mature,Electronic Arts,Playstation
Pac-Man World 3,PS2,2005,Platform,Namco Bandai Games,0.1,0.08,0,0.03,0.21,63,22,5.2,13,Blitz Games,Everyone,Other,Playstation
50 Cent: Blood on the Sand,X360,2009,Shooter,THQ,0.12,0.07,0,0.02,0.21,71,54,6.4,64,Swordfish Studios,Mature,Other,Xbox
Journey,PS3,2012,Adventure,Sony Computer Entertainment Europe,0.04,0.13,0,0.04,0.21,92,78,8.8,1381,ThatGameCompany,Everyone,Sony,Playstation
SBK X: Superbike World Championship,PS3,2010,Racing,Black Bean Games,0.05,0.12,0,0.04,0.21,73,4,7.5,4,Milestone S.r.l,E10+,Other,Playstation
Dragon Ball: Fusions,3DS,2016,Role-Playing,Namco Bandai Games,0.02,0,0.19,0,0.21,68,12,7.6,16,Ganbarion,Teen,Other,Nintendo
Madden NFL 07,DS,2006,Sports,Electronic Arts,0.2,0,0,0.02,0.21,70,9,6.5,10,Exient Entertainment,Everyone,Electronic Arts,Nintendo
HBO Boxing,PS,2000,Fighting,Acclaim Entertainment,0.12,0.08,0,0.01,0.21,26,7,4,5,Osiris Studios,Everyone,Other,Playstation
Bass Pro Shops: The Strike,X360,2009,Sports,XS Games,0.2,0,0,0.02,0.21,63,4,5.8,5,Piranha Games,Everyone,Other,Xbox
Darkwatch,XB,2005,Shooter,Ubisoft,0.16,0.05,0,0.01,0.21,75,43,8.1,21,High Moon Studios,Mature,Ubisoft,Xbox
